bin,count,positives,avg_score,positive_rate,cum_positives,cum_positive_capture
1,714,419,0.574561348794395,0.5868347338935574,419,0.918859649122807
2,713,5,0.011915742470388518,0.0070126227208976155,424,0.9298245614035088
3,713,2,0.011404274278523335,0.002805049088359046,426,0.9342105263157895
4,714,5,0.010798957913037628,0.0070028011204481795,431,0.9451754385964912
5,713,5,0.010299344810898762,0.0070126227208976155,436,0.956140350877193
6,713,3,0.009737369314187979,0.004207573632538569,439,0.9627192982456141
7,714,3,0.009524224784262804,0.004201680672268907,442,0.9692982456140351
8,713,3,0.009397247638894744,0.004207573632538569,445,0.9758771929824561
9,713,6,0.009127612743185165,0.008415147265077139,451,0.9890350877192983
10,714,5,0.008698350193648547,0.0070028011204481795,456,1.0
